dataset,model,status,seed_num,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,SMAPE_mean,SMAPE_std,Time_mean,Time_std,log_file,source,target,target_display,train_pct,model_family,tier
outo_avg_ts_rs50,catboost,OK,5,8.44030069,0.235962553,0.854082321,0.007209886,15.0486696,0.373946854,1.25309497,0.0352527855,222.50387659,202.27890589,results/logs_full/outo_avg_ts_rs50__catboost.log,Outo,AVG_TS,AVG_TS,50,Classical,private
outo_avg_ts_rs50,ftt,OK,5,9.17206379,1.32684278,0.823799992,0.0455834016,16.4228197,1.97992711,1.36176012,0.191823882,64.7094264,22.0101332,results/logs_full/outo_avg_ts_rs50__ftt.log,Outo,AVG_TS,AVG_TS,50,Deep,private
outo_avg_ts_rs50,lightgbm,OK,5,6.98185499,0.0018998573,0.886887173,4.86118122e-05,13.2536077,0.00284809476,1.04101584,0.000277637101,53.77506757,47.21997167,results/logs_full/outo_avg_ts_rs50__lightgbm.log,Outo,AVG_TS,AVG_TS,50,Classical,private
outo_avg_ts_rs50,limix,OK,5,5.52255925,0.0302312234,0.911905011,0.0013522494,11.6960962,0.0900051128,0.82183769,0.00403970867,17.3166395,0.992522,results/logs_full/outo_avg_ts_rs50__limix.log,Outo,AVG_TS,AVG_TS,50,TFM,private
outo_avg_ts_rs50,mitra,OK,5,9.87797441,0.0,0.808909006,0.0,17.2265498,0.0,1.47096699,0.0,46.7219577,1.11069324,results/logs_full/outo_avg_ts_rs50__mitra.log,Outo,AVG_TS,AVG_TS,50,TFM,private
outo_avg_ts_rs50,mlp,OK,5,9.78189295,0.178286164,0.640318998,0.18651179,22.9678128,5.57178546,1.4419499,0.01796595,28.3121946,2.65008361,results/logs_full/outo_avg_ts_rs50__mlp.log,Outo,AVG_TS,AVG_TS,50,Deep,private
outo_avg_ts_rs50,modernNCA,OK,5,7.68285224,0.339158855,0.847543416,0.00987037132,15.3784453,0.510178582,1.14289016,0.0511782028,4.26111937,0.878393622,results/logs_full/outo_avg_ts_rs50__modernNCA.log,Outo,AVG_TS,AVG_TS,50,Deep,private
outo_avg_ts_rs50,realmlp,OK,5,7.73551802,0.210907822,0.864214601,0.00545688929,14.5183567,0.291077833,1.15022308,0.0313669743,33.0474253,0.493190232,results/logs_full/outo_avg_ts_rs50__realmlp.log,Outo,AVG_TS,AVG_TS,50,Deep,private
outo_avg_ts_rs50,resnet,OK,5,9.35027569,0.187495816,0.712193189,0.0916699526,20.8804866,3.30964522,1.38233358,0.0309260599,35.2090736,3.7295226,results/logs_full/outo_avg_ts_rs50__resnet.log,Outo,AVG_TS,AVG_TS,50,Deep,private
outo_avg_ts_rs50,tabm,OK,5,10.7700449,0.125340162,0.78290819,0.00763503138,18.3583039,0.323361475,1.60139015,0.0177340173,35.0850952,6.31754894,results/logs_full/outo_avg_ts_rs50__tabm.log,Outo,AVG_TS,AVG_TS,50,Deep,private
outo_avg_ts_rs50,tabpfn_v2,OK,5,7.08982405,0.0338950676,0.780274473,0.00211430636,18.4719791,0.0888346424,1.03471161,0.00532322075,4.94922252,1.46709596,results/logs_full/outo_avg_ts_rs50__tabpfn_v2.log,Outo,AVG_TS,AVG_TS,50,TFM,private
outo_avg_ts_rs50,tabpfn_v3,OK,5,5.79228647,0.026259982,0.895444316,0.00102294918,12.742271,0.0622352184,0.861985402,0.00362217292,3.08036795,0.372044113,results/logs_full/outo_avg_ts_rs50__tabpfn_v3.log,Outo,AVG_TS,AVG_TS,50,TFM,private
outo_avg_ts_rs50,xgboost,OK,5,7.39248859,0.0823824609,0.88357284,0.00338992836,13.4449703,0.194628782,1.10072268,0.0129704203,27.12422929,14.38882996,results/logs_full/outo_avg_ts_rs50__xgboost.log,Outo,AVG_TS,AVG_TS,50,Classical,private
outo_avg_ts_rs60,catboost,OK,5,8.07135584,0.267463929,0.865670351,0.00603690968,14.6209357,0.327261674,1.19514969,0.0401115037,277.76008997,194.68605589,results/logs_full/outo_avg_ts_rs60__catboost.log,Outo,AVG_TS,AVG_TS,60,Classical,private
outo_avg_ts_rs60,ftt,OK,5,8.14847326,0.105030093,0.856866752,0.00495114508,15.093967,0.260882813,1.21072959,0.0150292475,85.9915322,4.64310663,results/logs_full/outo_avg_ts_rs60__ftt.log,Outo,AVG_TS,AVG_TS,60,Deep,private
outo_avg_ts_rs60,lightgbm,OK,5,6.48817406,0.00209540865,0.895592526,2.36258045e-05,12.893291,0.00145874419,0.968154711,0.000318566028,32.51438923,20.65558441,results/logs_full/outo_avg_ts_rs60__lightgbm.log,Outo,AVG_TS,AVG_TS,60,Classical,private
outo_avg_ts_rs60,limix,OK,5,5.39586913,0.0286352906,0.912503885,0.000747069938,11.8028919,0.0503457955,0.800886005,0.00423936464,18.091939,1.25775878,results/logs_full/outo_avg_ts_rs60__limix.log,Outo,AVG_TS,AVG_TS,60,TFM,private
outo_avg_ts_rs60,mitra,OK,5,10.0573129,0.0,0.79967475,0.0,17.8593578,0.0,1.4950013,0.0,46.9504159,1.41341188,results/logs_full/outo_avg_ts_rs60__mitra.log,Outo,AVG_TS,AVG_TS,60,TFM,private
outo_avg_ts_rs60,mlp,OK,5,9.54404033,0.349181568,0.82682062,0.0143657755,16.5917674,0.669646734,1.42308462,0.0506875365,32.4277637,8.22060837,results/logs_full/outo_avg_ts_rs60__mlp.log,Outo,AVG_TS,AVG_TS,60,Deep,private
outo_avg_ts_rs60,modernNCA,OK,5,7.34993693,0.357021122,0.850566375,0.0146116619,15.4060263,0.762677888,1.09192867,0.0531078593,6.33108907,1.48110215,results/logs_full/outo_avg_ts_rs60__modernNCA.log,Outo,AVG_TS,AVG_TS,60,Deep,private
outo_avg_ts_rs60,realmlp,OK,5,7.34299759,0.191191075,0.87059571,0.00351398533,14.3526475,0.195561101,1.09159622,0.0286479841,34.0671483,1.60345279,results/logs_full/outo_avg_ts_rs60__realmlp.log,Outo,AVG_TS,AVG_TS,60,Deep,private
outo_avg_ts_rs60,resnet,OK,5,9.11481385,0.552889504,0.842590286,0.0177251899,15.807741,0.86146799,1.36078178,0.0813018526,38.6809263,11.1911777,results/logs_full/outo_avg_ts_rs60__resnet.log,Outo,AVG_TS,AVG_TS,60,Deep,private
outo_avg_ts_rs60,tabm,OK,5,10.9287825,0.200832874,0.775120707,0.0095556299,18.9180284,0.399580296,1.622872,0.0293815699,37.4479569,12.200692,results/logs_full/outo_avg_ts_rs60__tabm.log,Outo,AVG_TS,AVG_TS,60,Deep,private
outo_avg_ts_rs60,tabpfn_v2,OK,5,6.88847904,0.0423822758,0.775808691,0.00218956711,18.8930549,0.0923765079,1.00137499,0.00670730932,5.75422797,2.81686408,results/logs_full/outo_avg_ts_rs60__tabpfn_v2.log,Outo,AVG_TS,AVG_TS,60,TFM,private
outo_avg_ts_rs60,tabpfn_v3,OK,5,5.50016881,0.0358190676,0.898677704,0.0011646756,12.7011588,0.0729164264,0.816373632,0.0049476199,4.05133805,0.517049463,results/logs_full/outo_avg_ts_rs60__tabpfn_v3.log,Outo,AVG_TS,AVG_TS,60,TFM,private
outo_avg_ts_rs60,xgboost,OK,5,7.16043428,0.11067041,0.882333841,0.00286894023,13.6864623,0.167644946,1.06411291,0.017254526,12.65129604,21.3323008,results/logs_full/outo_avg_ts_rs60__xgboost.log,Outo,AVG_TS,AVG_TS,60,Classical,private
outo_avg_ts_rs70,catboost,OK,5,7.91189297,0.262494662,0.880226011,0.00515230266,13.9268075,0.297463746,1.18327912,0.0389294511,424.5147655,222.26265964,results/logs_full/outo_avg_ts_rs70__catboost.log,Outo,AVG_TS,AVG_TS,70,Classical,private
outo_avg_ts_rs70,ftt,OK,5,7.97648482,0.154109281,0.856961144,0.0153110993,15.2006277,0.822502431,1.18970421,0.0212132616,101.063661,4.93726396,results/logs_full/outo_avg_ts_rs70__ftt.log,Outo,AVG_TS,AVG_TS,70,Deep,private
