model_key,pool_tag,test_dataset,target,seed,smape,mae_mpa,r2,n_ft_samples,n_context,n_test,ft_epochs,ft_steps_per_epoch,ft_lr,ft_support_size,ft_query_size,ckpt_path,timestamp
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,30,100,1e-06,512,128,,2026-05-25T00:56:49.082356
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T00:58:06.884298
tabpfn3_ft,open_outo,tata_uts,uts,1,1.2786,5.4242,0.9095,23301,5379,3586,30,100,1e-06,512,128,,2026-05-25T01:05:11.838155
limix_ft,open_outo,tata_uts,uts,1,1.2893,5.4589,0.9104,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T01:08:00.523530
tabpfn3_ft,open_outo,tata_uts,uts,2,1.2786,5.4242,0.9095,23301,5379,3586,30,100,1e-06,512,128,,2026-05-25T01:13:27.095957
limix_ft,open_outo,tata_uts,uts,2,1.2893,5.4589,0.9104,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T01:17:48.153307
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,30,100,1e-06,512,128,,2026-05-25T01:21:14.756534
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T01:27:12.742729
tabpfn3_ft,open_outo,tata_ys,ys,1,3.8843,11.3843,0.6949,23301,5379,3586,30,100,1e-06,512,128,,2026-05-25T01:28:02.008605
tabpfn2_talent_ft,open_outo,tata_uts,uts,0,1.3294,5.6225,0.9067,23301,5379,3586,30,100,5e-06,512,128,,2026-05-25T01:30:33.304346
tabpfn3_ft,open_outo,tata_ys,ys,2,3.8843,11.3843,0.6949,23301,5379,3586,30,100,1e-06,512,128,,2026-05-25T01:34:19.437304
limix_ft,open_outo,tata_ys,ys,1,3.852,11.2876,0.6991,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T01:36:24.061059
limix_ft,open_outo,tata_ys,ys,2,3.852,11.2876,0.6991,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T01:45:17.644043
tabpfn2_talent_ft,open_outo,tata_uts,uts,1,1.3294,5.6225,0.9067,23301,5379,3586,30,100,5e-06,512,128,,2026-05-25T02:03:34.525551
tabpfn2_talent_ft,open_outo,tata_uts,uts,2,1.3294,5.6225,0.9067,23301,5379,3586,30,100,5e-06,512,128,,2026-05-25T02:36:01.130711
tabpfn2_talent_ft,open_outo,tata_ys,ys,0,4.0364,11.8212,0.6831,23301,5379,3586,30,100,5e-06,512,128,,2026-05-25T03:08:36.448488
tabpfn2_talent_ft,open_outo,tata_ys,ys,1,4.0364,11.8212,0.6831,23301,5379,3586,30,100,5e-06,512,128,,2026-05-25T03:41:08.473581
tabpfn2_talent_ft,open_outo,tata_ys,ys,2,4.0364,11.8212,0.6831,23301,5379,3586,30,100,5e-06,512,128,,2026-05-25T04:13:45.504727
