dataset,model,status,seed_num,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,SMAPE_mean,SMAPE_std,Time_mean,Time_std,log_file
ft_ckpt_outo_avg_ts_rs70,limix,OK,3,5.22111625,0.00800609659,0.921555397,0.000260916155,11.2732799,0.018742335,0.781658913,0.000782878913,8.97166133,0.649208592,results/logs_ft_exp/ft_ckpt_outo_avg_ts_rs70__limix.log
ft_ckpt_outo_avg_ts_rs70,tabpfn_v2,OK,3,39.951788,4.12348821,-0.646440393,0.255494377,51.4829458,4.10917067,5.80434534,0.578350999,4.25754293,0.429808128,results/logs_ft_exp/ft_ckpt_outo_avg_ts_rs70__tabpfn_v2.log
ft_ckpt_outo_avg_ts_rs70,tabpfn_v3,OK,3,5.39355684,0.062137442,0.906139173,0.00358722886,12.3290974,0.237052141,0.802514054,0.00755251854,3.24130432,0.314773972,results/logs_ft_exp/ft_ckpt_outo_avg_ts_rs70__tabpfn_v3.log
ft_ckpt_outo_avg_ys_rs70,limix,OK,3,6.73546656,0.0226818748,0.984483828,0.000103162381,10.1527494,0.0337297207,1.64185682,0.00438269183,8.51901539,0.637770812,results/logs_ft_exp/ft_ckpt_outo_avg_ys_rs70__limix.log
ft_ckpt_outo_avg_ys_rs70,tabpfn_v2,OK,3,89.7737323,3.51409677,-0.41951437,0.120452392,97.0244959,4.0727318,20.5989806,0.720508896,4.22343143,0.357792608,results/logs_ft_exp/ft_ckpt_outo_avg_ys_rs70__tabpfn_v2.log
ft_ckpt_outo_avg_ys_rs70,tabpfn_v3,OK,3,6.62147235,0.00757392915,0.982655444,0.000121644965,10.7342744,0.0376848768,1.61189852,0.00202914221,2.89245804,0.200904462,results/logs_ft_exp/ft_ckpt_outo_avg_ys_rs70__tabpfn_v3.log
ft_ckpt_tata_rm_rs70,limix,OK,3,5.27252253,0.00292319453,0.936848788,0.000129532043,9.02371644,0.00925503067,1.24030585,0.000556735694,13.1964991,0.649887438,results/logs_ft_exp/ft_ckpt_tata_rm_rs70__limix.log
ft_ckpt_tata_rm_rs70,tabpfn_v2,OK,3,35.0910883,1.71983497,-0.576014033,0.119988878,45.0455641,1.73748728,8.25513052,0.378588696,5.54426487,0.437822315,results/logs_ft_exp/ft_ckpt_tata_rm_rs70__tabpfn_v2.log
ft_ckpt_tata_rm_rs70,tabpfn_v3,OK,3,5.24281883,0.0169373306,0.937648956,0.000275886756,8.96634861,0.0198289901,1.22946539,0.00434717382,4.48231498,0.24372634,results/logs_ft_exp/ft_ckpt_tata_rm_rs70__tabpfn_v3.log
ft_ckpt_tata_rp_rs70,limix,OK,3,11.1947497,0.00834420102,0.738749971,0.000230506741,15.6428213,0.00690202343,3.81203257,0.00258418332,13.4343905,1.23197592,results/logs_ft_exp/ft_ckpt_tata_rp_rs70__limix.log
ft_ckpt_tata_rp_rs70,tabpfn_v2,OK,3,30.3338169,1.20379388,-0.550187134,0.0847803794,38.0907015,1.03427716,10.2518248,0.378159337,5.47825575,0.350608331,results/logs_ft_exp/ft_ckpt_tata_rp_rs70__tabpfn_v2.log
ft_ckpt_tata_rp_rs70,tabpfn_v3,OK,3,11.1228673,0.00632729593,0.741666103,0.000868167149,15.5552513,0.0261229689,3.79188901,0.00210020648,3.91856289,0.66989698,results/logs_ft_exp/ft_ckpt_tata_rp_rs70__tabpfn_v3.log
zeroshot_outo_avg_ts_rs70,limix,OK,3,5.22111625,0.00800609659,0.921555397,0.000260916155,11.2732799,0.018742335,0.781658913,0.000782878913,19.9272203,0.734785268,results/logs_ft_exp/zeroshot_outo_avg_ts_rs70__limix.log
zeroshot_outo_avg_ts_rs70,mitra,OK,3,9.94558511,0.0,0.810283693,0.0,17.5316055,0.0,1.48225907,0.0,72.1511313,0.44903922,results/logs_ft_exp/zeroshot_outo_avg_ts_rs70__mitra.log
zeroshot_outo_avg_ts_rs70,tabpfn_v2,OK,3,6.84214475,0.0147976315,0.774958656,0.000368385154,19.0941516,0.015630296,0.995551133,0.00221167463,17.1935743,2.71074786,results/logs_ft_exp/zeroshot_outo_avg_ts_rs70__tabpfn_v2.log
zeroshot_outo_avg_ts_rs70,tabpfn_v3,OK,3,5.39355684,0.062137442,0.906139173,0.00358722886,12.3290974,0.237052141,0.802514054,0.00755251854,6.85645421,0.706481663,results/logs_ft_exp/zeroshot_outo_avg_ts_rs70__tabpfn_v3.log
zeroshot_outo_avg_ys_rs70,limix,OK,3,6.73546656,0.0226818748,0.984483828,0.000103162381,10.1527494,0.0337297207,1.64185682,0.00438269183,20.0714803,0.919850141,results/logs_ft_exp/zeroshot_outo_avg_ys_rs70__limix.log
zeroshot_outo_avg_ys_rs70,mitra,OK,3,11.8064329,0.0,0.957699412,1.11022302e-16,16.7635881,0.0,2.83878225,0.0,72.0869518,0.309650393,results/logs_ft_exp/zeroshot_outo_avg_ys_rs70__mitra.log
zeroshot_outo_avg_ys_rs70,tabpfn_v2,OK,3,7.2252926,0.0501796974,0.978537046,0.000700802433,11.9393612,0.194180094,1.73879032,0.0101691291,17.4102196,3.10330416,results/logs_ft_exp/zeroshot_outo_avg_ys_rs70__tabpfn_v2.log
zeroshot_outo_avg_ys_rs70,tabpfn_v3,OK,3,6.62147235,0.00757392915,0.982655444,0.000121644965,10.7342744,0.0376848768,1.61189852,0.00202914221,6.60149988,0.369041249,results/logs_ft_exp/zeroshot_outo_avg_ys_rs70__tabpfn_v3.log
zeroshot_tata_rm_rs70,limix,OK,3,5.27252253,0.00292319453,0.936848788,0.000129532043,9.02371644,0.00925503067,1.24030585,0.000556735694,11.9122421,0.703870302,results/logs_ft_exp/zeroshot_tata_rm_rs70__limix.log
zeroshot_tata_rm_rs70,mitra,OK,3,5.96275247,0.0,0.927639071,0.0,9.65932737,0.0,1.4047717,2.22044605e-16,22.016667,0.386891906,results/logs_ft_exp/zeroshot_tata_rm_rs70__mitra.log
zeroshot_tata_rm_rs70,tabpfn_v2,OK,3,5.35990389,0.00295845866,0.935312259,0.000115409964,9.13283552,0.00814949243,1.25954068,0.000782412794,7.18615818,2.99469229,results/logs_ft_exp/zeroshot_tata_rm_rs70__tabpfn_v2.log
zeroshot_tata_rm_rs70,tabpfn_v3,OK,3,5.24281883,0.0169373306,0.937648956,0.000275886756,8.96634861,0.0198289901,1.22946539,0.00434717382,3.31619239,0.351398524,results/logs_ft_exp/zeroshot_tata_rm_rs70__tabpfn_v3.log
zeroshot_tata_rp_rs70,limix,OK,3,11.1947497,0.00834420102,0.738749971,0.000230506741,15.6428213,0.00690202343,3.81203257,0.00258418332,11.6849592,0.397937414,results/logs_ft_exp/zeroshot_tata_rp_rs70__limix.log
zeroshot_tata_rp_rs70,mitra,OK,3,12.6825509,0.0,0.691098721,0.0,17.0097057,0.0,4.33269318,0.0,21.9921517,0.353055467,results/logs_ft_exp/zeroshot_tata_rp_rs70__mitra.log
zeroshot_tata_rp_rs70,tabpfn_v2,OK,3,11.5895413,0.00513224716,0.726776859,0.000215626954,15.9972619,0.0063128283,3.94886969,0.00166320286,5.84415674,1.09401923,results/logs_ft_exp/zeroshot_tata_rp_rs70__tabpfn_v2.log
