model_key,pool_tag,test_dataset,target,seed,smape,mae_mpa,r2,n_ft_samples,n_context,n_test,ft_epochs,ft_steps_per_epoch,ft_lr,ft_support_size,ft_query_size,ckpt_path,timestamp
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,15,100,5e-07,512,128,,2026-05-25T14:26:01.182391
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-08,256,64,,2026-05-25T14:30:29.313414
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,15,100,5e-07,512,128,,2026-05-25T14:31:40.101709
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-08,256,64,,2026-05-25T14:40:24.377849
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,15,100,1e-06,512,128,,2026-05-25T14:40:48.103274
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,15,100,1e-06,512,128,,2026-05-25T14:46:29.231215
mitra_ft,open_outo,tata_uts,uts,0,1.6453,6.8358,0.892,23301,5379,3586,5,100,1e-08,512,128,,2026-05-25T14:50:23.168180
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T14:50:48.634790
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,15,100,5e-06,512,128,,2026-05-25T14:55:43.456403
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,5e-08,256,64,,2026-05-25T15:00:40.264327
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,15,100,5e-06,512,128,,2026-05-25T15:00:58.589191
tabpfn2_talent_ft,open_outo,tata_uts,uts,0,1.3294,5.6225,0.9067,23301,5379,3586,15,100,1e-06,512,128,,2026-05-25T15:05:25.030520
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,15,100,1e-05,512,128,,2026-05-25T15:10:19.983622
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-07,256,64,,2026-05-25T15:11:08.758437
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,15,100,1e-05,512,128,,2026-05-25T15:16:41.086542
mitra_ft,open_outo,tata_ys,ys,0,4.55,13.2402,0.6394,23301,5379,3586,5,100,1e-08,512,128,,2026-05-25T15:20:20.970969
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-07,256,64,,2026-05-25T15:21:01.558652
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,15,100,5e-05,512,128,,2026-05-25T15:25:30.943773
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,5e-07,256,64,,2026-05-25T15:31:20.714788
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,15,100,5e-05,512,128,,2026-05-25T15:33:51.928801
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,5e-07,256,64,,2026-05-25T15:40:38.190392
tabpfn2_talent_ft,open_outo,tata_ys,ys,0,4.0364,11.8212,0.6831,23301,5379,3586,15,100,1e-06,512,128,,2026-05-25T15:47:00.803214
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-06,256,64,,2026-05-25T15:50:10.048848
mitra_ft,open_outo,tata_uts,uts,0,1.6453,6.8248,0.892,23301,5379,3586,5,100,5e-08,512,128,,2026-05-25T15:50:44.939140
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-06,256,64,,2026-05-25T15:59:28.833478
mitra_ft,open_outo,tata_ys,ys,0,4.6054,13.3869,0.6339,23301,5379,3586,5,100,5e-08,512,128,,2026-05-25T16:20:44.296036
tabpfn2_talent_ft,open_outo,tata_uts,uts,0,1.3294,5.6225,0.9067,23301,5379,3586,15,100,5e-06,512,128,,2026-05-25T16:22:53.078396
mitra_ft,open_outo,tata_uts,uts,0,1.6365,6.7988,0.8924,23301,5379,3586,5,100,1e-07,512,128,,2026-05-25T16:51:17.880268
