model_key,pool_tag,test_dataset,target,seed,smape,mae_mpa,r2,n_ft_samples,n_context,n_test,ft_epochs,ft_steps_per_epoch,ft_lr,ft_support_size,ft_query_size,ckpt_path,timestamp
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,30,100,1e-06,512,128,,2026-05-24T22:06:16.402343
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-07,256,64,,2026-05-24T22:11:03.073625
mitra_ft,open_tata,outo_uts,uts,0,1.923,13.0622,0.6718,19303,6578,4386,5,100,1e-07,512,128,,2026-05-24T22:31:44.651709
tabpfn2_talent_ft,open_tata,outo_uts,uts,0,1.0194,7.0018,0.7811,19303,6578,4386,30,100,5e-06,512,128,,2026-05-24T22:37:47.717095
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,30,100,3e-06,512,128,,2026-05-25T00:13:15.488378
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,30,100,1e-06,512,128,,2026-05-25T00:22:08.028769
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,5e-08,256,64,,2026-05-25T00:25:05.831086
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,2.5e-08,256,64,,2026-05-25T00:39:38.789469
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,1,100,5e-08,256,64,,2026-05-25T13:48:09.744782
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,15,100,5e-07,512,128,,2026-05-25T14:28:08.891574
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-08,256,64,,2026-05-25T14:30:15.879476
tabpfn3_ft,open_tata,outo_ys,ys,0,1.7434,7.2222,0.9761,19303,6578,4386,15,100,5e-07,512,128,,2026-05-25T14:33:39.688211
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,15,100,1e-06,512,128,,2026-05-25T14:39:31.696953
