model_key,pool_tag,test_dataset,target,seed,smape,mae_mpa,r2,n_ft_samples,n_context,n_test,ft_epochs,ft_steps_per_epoch,ft_lr,ft_support_size,ft_query_size,ckpt_path,timestamp
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T17:37:38.302797
limix_ft,open_outo,tata_uts,uts,1,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T17:46:28.444369
limix_ft,open_outo,tata_uts,uts,2,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T17:55:18.719796
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T18:04:08.142593
limix_ft,open_outo,tata_ys,ys,1,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T18:12:57.049907
limix_ft,open_outo,tata_ys,ys,2,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T18:21:46.274464
tabpfn3_ft,open_outo,tata_uts,uts,0,1.3044,5.516,0.9098,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T18:38:23.697029
tabpfn3_ft,open_outo,tata_uts,uts,1,1.3044,5.516,0.9098,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T18:55:07.495121
tabpfn3_ft,open_outo,tata_uts,uts,2,1.3044,5.516,0.9098,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T19:11:50.289618
tabpfn3_ft,open_outo,tata_ys,ys,0,3.9809,11.6626,0.6903,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T19:28:33.812311
tabpfn3_ft,open_outo,tata_ys,ys,1,3.9809,11.6626,0.6903,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T19:45:19.325549
tabpfn3_ft,open_outo,tata_ys,ys,2,3.9809,11.6626,0.6903,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T20:02:03.702495
tabpfn2_ft,open_outo,tata_uts,uts,0,1.3102,5.5386,0.9078,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T20:12:13.326026
tabpfn2_ft,open_outo,tata_uts,uts,1,1.3102,5.5386,0.9078,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T20:22:26.615662
tabpfn2_ft,open_outo,tata_uts,uts,2,1.3102,5.5386,0.9078,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T20:32:53.547588
tabpfn2_ft,open_outo,tata_ys,ys,0,3.9424,11.5533,0.6942,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T20:43:24.692768
tabpfn2_ft,open_outo,tata_ys,ys,1,3.9424,11.5533,0.6942,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T20:53:52.173159
tabpfn2_ft,open_outo,tata_ys,ys,2,3.9424,11.5533,0.6942,23301,5379,3586,30,100,1e-05,512,128,,2026-05-23T21:05:08.855096
limix_ft,open_outo,tata_uts,uts,0,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T22:08:25.812339
limix_ft,open_outo,tata_uts,uts,1,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T22:17:19.232914
limix_ft,open_outo,tata_uts,uts,2,1.2893,5.4589,0.9104,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T22:26:11.857732
mitra_ft,open_outo,tata_uts,uts,0,1.7636,7.3066,0.885,23301,5379,3586,5,100,1e-05,512,128,,2026-05-23T22:29:09.175300
limix_ft,open_outo,tata_ys,ys,0,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T22:35:04.023634
limix_ft,open_outo,tata_ys,ys,1,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T22:43:58.047684
limix_ft,open_outo,tata_ys,ys,2,3.852,11.2876,0.6991,23301,5379,3586,3,100,1e-05,256,64,,2026-05-23T22:52:51.530055
mitra_ft,open_outo,tata_uts,uts,1,1.7327,7.1573,0.8841,23301,5379,3586,5,100,1e-05,512,128,,2026-05-23T22:59:14.437584
mitra_ft,open_outo,tata_uts,uts,2,2.0207,8.2968,0.8621,23301,5379,3586,5,100,1e-05,512,128,,2026-05-23T23:29:06.833887
mitra_ft,open_outo,tata_ys,ys,0,4.6419,13.5035,0.6174,23301,5379,3586,5,100,1e-05,512,128,,2026-05-23T23:58:57.100428
mitra_ft,open_outo,tata_ys,ys,1,4.6267,13.4245,0.6325,23301,5379,3586,5,100,1e-05,512,128,,2026-05-24T00:28:48.198805
mitra_ft,open_outo,tata_ys,ys,2,5.1272,14.8376,0.5784,23301,5379,3586,5,100,1e-05,512,128,,2026-05-24T00:58:31.527282
tabpfn3_ft,open_outo,tata_uts,uts,0,1.3044,5.516,0.9098,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T10:09:48.312398
tabpfn3_ft,open_outo,tata_uts,uts,1,1.3044,5.516,0.9098,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T10:26:09.285619
tabpfn3_ft,open_outo,tata_uts,uts,2,1.3044,5.516,0.9098,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T10:42:27.157955
tabpfn3_ft,open_outo,tata_ys,ys,0,3.9809,11.6626,0.6903,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T10:58:41.438045
tabpfn3_ft,open_outo,tata_ys,ys,1,3.9809,11.6626,0.6903,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T11:15:02.560065
tabpfn3_ft,open_outo,tata_ys,ys,2,3.9809,11.6626,0.6903,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T11:31:26.403409
tabpfn3_ft,open_outo,tata_uts,uts,0,1.2786,5.4242,0.9095,23301,5379,3586,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_outo/tabpfn3_ft/open_outo_seed_0.pt,2026-05-24T12:36:28.958562
tabpfn3_ft,open_outo,tata_uts,uts,1,1.2786,5.4242,0.9095,23301,5379,3586,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_outo/tabpfn3_ft/open_outo_seed_1.pt,2026-05-24T12:42:35.256940
tabpfn3_ft,open_outo,tata_uts,uts,2,1.2786,5.4242,0.9095,23301,5379,3586,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_outo/tabpfn3_ft/open_outo_seed_2.pt,2026-05-24T12:46:18.437495
tabpfn3_ft,open_outo,tata_ys,ys,0,3.8843,11.3843,0.6949,23301,5379,3586,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_outo/tabpfn3_ft/open_outo_seed_0.pt,2026-05-24T12:52:19.793427
tabpfn3_ft,open_outo,tata_ys,ys,1,3.8843,11.3843,0.6949,23301,5379,3586,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_outo/tabpfn3_ft/open_outo_seed_1.pt,2026-05-24T12:58:14.396796
tabpfn3_ft,open_outo,tata_ys,ys,2,3.8843,11.3843,0.6949,23301,5379,3586,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_outo/tabpfn3_ft/open_outo_seed_2.pt,2026-05-24T13:01:47.663468
tabpfn2_talent_ft,open_outo,tata_uts,uts,0,1.3294,5.6225,0.9067,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T14:36:08.128155
tabpfn2_talent_ft,open_outo,tata_uts,uts,1,1.3294,5.6225,0.9067,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T15:10:50.513621
tabpfn2_talent_ft,open_outo,tata_uts,uts,2,1.3294,5.6225,0.9067,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T15:45:37.886472
tabpfn2_talent_ft,open_outo,tata_ys,ys,0,4.0364,11.8212,0.6831,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T16:20:18.986843
tabpfn2_talent_ft,open_outo,tata_ys,ys,1,4.0364,11.8212,0.6831,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T16:54:43.262064
tabpfn2_talent_ft,open_outo,tata_ys,ys,0,4.0364,11.8212,0.6831,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T19:17:16.543666
tabpfn2_talent_ft,open_outo,tata_ys,ys,1,4.0364,11.8212,0.6831,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T19:49:58.395829
tabpfn2_talent_ft,open_outo,tata_ys,ys,2,4.0364,11.8212,0.6831,23301,5379,3586,30,100,1e-05,512,128,,2026-05-24T20:22:43.299823
