model_key,pool_tag,test_dataset,target,seed,smape,mae_mpa,r2,n_ft_samples,n_context,n_test,ft_epochs,ft_steps_per_epoch,ft_lr,ft_support_size,ft_query_size,ckpt_path,timestamp
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T17:48:16.027975
limix_ft,open_tata,outo_uts,uts,1,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T18:08:14.748222
mitra_ft,open_tata,outo_uts,uts,0,1.9309,13.1192,0.6672,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T18:13:41.174082
limix_ft,open_tata,outo_uts,uts,2,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T18:19:54.449383
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T18:28:40.388931
limix_ft,open_tata,outo_ys,ys,1,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T18:37:27.110166
limix_ft,open_tata,outo_ys,ys,2,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T18:46:13.103355
tabpfn3_ft,open_tata,outo_uts,uts,0,0.7688,5.1747,0.9182,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T19:04:11.716313
tabpfn3_ft,open_tata,outo_uts,uts,1,0.7688,5.1747,0.9182,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T19:22:13.653660
tabpfn3_ft,open_tata,outo_uts,uts,2,0.7688,5.1747,0.9182,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T19:40:13.742470
tabpfn3_ft,open_tata,outo_ys,ys,0,1.6635,6.8339,0.9798,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T19:45:22.041199
tabpfn3_ft,open_tata,outo_ys,ys,1,1.6635,6.8339,0.9798,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T20:03:24.659705
tabpfn3_ft,open_tata,outo_ys,ys,2,1.6635,6.8339,0.9798,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T20:21:21.016057
tabpfn2_ft,open_tata,outo_uts,uts,0,0.7899,5.3055,0.9145,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T20:31:00.822984
tabpfn2_ft,open_tata,outo_uts,uts,1,0.7899,5.3055,0.9145,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T20:40:53.721273
tabpfn2_ft,open_tata,outo_uts,uts,2,0.7899,5.3055,0.9145,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T20:50:34.493376
tabpfn2_ft,open_tata,outo_ys,ys,0,1.6757,6.9062,0.9792,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T21:01:02.616974
tabpfn2_ft,open_tata,outo_ys,ys,1,1.6757,6.9062,0.9792,19303,6578,4386,30,100,1e-05,512,128,,2026-05-23T21:10:39.264952
mitra_ft,open_tata,outo_uts,uts,0,1.9293,13.1089,0.6651,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T21:25:50.097280
mitra_ft,open_tata,outo_uts,uts,1,2.0534,13.9609,0.6865,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T21:55:26.221796
limix_ft,open_tata,outo_uts,uts,0,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T22:08:01.313566
limix_ft,open_tata,outo_uts,uts,1,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T22:16:47.761902
mitra_ft,open_tata,outo_uts,uts,2,1.9399,13.1334,0.7333,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T22:25:08.230874
limix_ft,open_tata,outo_uts,uts,2,0.8021,5.4064,0.9162,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T22:25:34.517804
limix_ft,open_tata,outo_ys,ys,0,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T22:34:21.425234
limix_ft,open_tata,outo_ys,ys,1,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T22:43:08.411868
limix_ft,open_tata,outo_ys,ys,2,1.7297,7.1625,0.9793,19303,6578,4386,3,100,1e-05,256,64,,2026-05-23T22:51:56.651003
mitra_ft,open_tata,outo_ys,ys,0,4.9021,19.9577,0.8867,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T22:54:47.653804
mitra_ft,open_tata,outo_ys,ys,1,4.2264,17.5273,0.9123,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T23:24:25.871585
mitra_ft,open_tata,outo_ys,ys,2,3.8603,15.8882,0.9272,19303,6578,4386,5,100,1e-05,512,128,,2026-05-23T23:54:01.481415
tabpfn3_ft,open_tata,outo_uts,uts,0,0.7688,5.1747,0.9182,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T10:07:25.674127
tabpfn3_ft,open_tata,outo_uts,uts,1,0.7688,5.1747,0.9182,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T10:21:26.974292
tabpfn3_ft,open_tata,outo_uts,uts,2,0.7688,5.1747,0.9182,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T10:35:28.965396
tabpfn3_ft,open_tata,outo_ys,ys,0,1.6635,6.8339,0.9798,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T10:49:30.634069
tabpfn3_ft,open_tata,outo_ys,ys,1,1.6635,6.8339,0.9798,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T11:03:31.546010
tabpfn3_ft,open_tata,outo_ys,ys,2,1.6635,6.8339,0.9798,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T11:17:32.776603
tabpfn3_ft,open_tata,outo_uts,uts,0,0.8257,5.5578,0.9009,19303,6578,4386,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_tata/tabpfn3_ft/open_tata_seed_0.pt,2026-05-24T12:35:37.368934
tabpfn3_ft,open_tata,outo_uts,uts,1,0.8257,5.5578,0.9009,19303,6578,4386,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_tata/tabpfn3_ft/open_tata_seed_1.pt,2026-05-24T12:39:25.100818
tabpfn3_ft,open_tata,outo_uts,uts,2,0.8257,5.5578,0.9009,19303,6578,4386,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_tata/tabpfn3_ft/open_tata_seed_2.pt,2026-05-24T12:43:09.757522
tabpfn3_ft,open_tata,outo_ys,ys,0,1.7434,7.2222,0.9761,19303,6578,4386,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_tata/tabpfn3_ft/open_tata_seed_0.pt,2026-05-24T12:46:57.900028
tabpfn3_ft,open_tata,outo_ys,ys,1,1.7434,7.2222,0.9761,19303,6578,4386,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_tata/tabpfn3_ft/open_tata_seed_1.pt,2026-05-24T12:50:43.943248
tabpfn3_ft,open_tata,outo_ys,ys,2,1.7434,7.2222,0.9761,19303,6578,4386,30,100,1e-05,512,128,/research/d1/gds/ztli/tabular/TALENT/results_model/finetune/open_tata/tabpfn3_ft/open_tata_seed_2.pt,2026-05-24T12:55:57.428231
tabpfn2_talent_ft,open_tata,outo_uts,uts,0,1.0194,7.0018,0.7811,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T14:39:53.906262
tabpfn2_talent_ft,open_tata,outo_uts,uts,1,1.0194,7.0018,0.7811,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T15:19:42.001502
tabpfn2_talent_ft,open_tata,outo_uts,uts,2,1.0194,7.0018,0.7811,19303,6578,4386,30,100,1e-05,512,128,,2026-05-24T15:59:10.644712
