dataset,model,status,seed_num,MAE_mean,MAE_std,R2_mean,R2_std,RMSE_mean,RMSE_std,SMAPE_mean,SMAPE_std,Time_mean,Time_std,log_file,source,target,target_display,train_pct,model_family,tier
matbench_ys_rs50,catboost,OK,5,101.067384,2.27976482,0.787128574,0.00630622573,140.583822,2.07041478,7.1997657,0.175061313,16.36513162,2.58999711,results/logs_open/matbench_ys_rs50__catboost.log,matbench_steels,YS,Yield Strength,50,Classical,open
matbench_ys_rs50,ftt,OK,5,190.937469,49.9426291,0.156544951,0.328454749,271.106388,69.4835059,13.0340949,3.24180476,6.52460108,9.01465767,results/logs_open/matbench_ys_rs50__ftt.log,matbench_steels,YS,Yield Strength,50,Deep,open
matbench_ys_rs50,lightgbm,OK,5,88.3477497,0.062082892,0.82918096,0.000195679937,125.948158,0.0721303844,6.27746226,0.00486679174,2.91449594,0.68885526,results/logs_open/matbench_ys_rs50__lightgbm.log,matbench_steels,YS,Yield Strength,50,Classical,open
matbench_ys_rs50,limix,OK,5,83.9598672,0.4886899,0.859699935,0.00267383664,114.138718,1.08728404,6.02582604,0.0342083157,1.74181852,0.679065388,results/logs_open/matbench_ys_rs50__limix.log,matbench_steels,YS,Yield Strength,50,TFM,open
matbench_ys_rs50,mitra,OK,5,94.606513,0.0,0.825179256,0.0,127.414905,0.0,6.71795283,0.0,0.597347546,0.434619089,results/logs_open/matbench_ys_rs50__mitra.log,matbench_steels,YS,Yield Strength,50,TFM,open
matbench_ys_rs50,mlp,OK,5,96.418833,3.19379134,0.815936981,0.00995113503,130.691091,3.55972338,6.73296804,0.222944031,15.4848048,7.21297235,results/logs_open/matbench_ys_rs50__mlp.log,matbench_steels,YS,Yield Strength,50,Deep,open
matbench_ys_rs50,modernNCA,OK,5,103.125424,5.46534055,0.753528992,0.0356298369,150.903938,10.7838556,7.27332344,0.307509898,1.82727046,1.09240377,results/logs_open/matbench_ys_rs50__modernNCA.log,matbench_steels,YS,Yield Strength,50,Deep,open
matbench_ys_rs50,realmlp,OK,5,85.4472578,5.26718939,0.860660343,0.0149530264,113.597709,5.93313214,6.15108686,0.374067983,2.94390507,0.914306684,results/logs_open/matbench_ys_rs50__realmlp.log,matbench_steels,YS,Yield Strength,50,Deep,open
matbench_ys_rs50,resnet,OK,5,89.8604673,2.31278041,0.832106494,0.0121895915,124.782914,4.52673318,6.35338545,0.136695334,15.8957671,3.03026467,results/logs_open/matbench_ys_rs50__resnet.log,matbench_steels,YS,Yield Strength,50,Deep,open
matbench_ys_rs50,tabm,OK,5,110.203545,1.01533105,0.741441035,0.00429880832,154.948933,1.28625788,7.63624967,0.0779495699,45.3395041,6.56619601,results/logs_open/matbench_ys_rs50__tabm.log,matbench_steels,YS,Yield Strength,50,Deep,open
matbench_ys_rs50,tabpfn_v2,OK,5,84.0716555,1.65835871,0.865430694,0.00655453998,111.755796,2.69992617,5.98143422,0.123227838,3.68306503,6.56785949,results/logs_open/matbench_ys_rs50__tabpfn_v2.log,matbench_steels,YS,Yield Strength,50,TFM,open
matbench_ys_rs50,tabpfn_v3,OK,5,87.6169902,0.70192061,0.850349681,0.00334319036,117.878692,1.32094354,6.16447468,0.0457250156,0.813880444,0.364346562,results/logs_open/matbench_ys_rs50__tabpfn_v3.log,matbench_steels,YS,Yield Strength,50,TFM,open
matbench_ys_rs50,xgboost,OK,5,113.253665,4.15893651,0.693674603,0.0249312071,168.526851,6.73126567,7.95142903,0.32276275,0.68660564,0.48930704,results/logs_open/matbench_ys_rs50__xgboost.log,matbench_steels,YS,Yield Strength,50,Classical,open
matbench_ys_rs60,catboost,OK,5,109.575913,4.53622135,0.735499936,0.0205722443,151.587919,5.88778201,7.80598518,0.305233989,9.07703242,1.18890352,results/logs_open/matbench_ys_rs60__catboost.log,matbench_steels,YS,Yield Strength,60,Classical,open
matbench_ys_rs60,ftt,OK,5,209.527951,2.90221348,0.00714424149,0.033620425,293.87353,4.95203347,14.2707849,0.21156294,1.42518163,0.273617762,results/logs_open/matbench_ys_rs60__ftt.log,matbench_steels,YS,Yield Strength,60,Deep,open
matbench_ys_rs60,lightgbm,OK,5,99.8130187,0.015029937,0.735618142,6.19336371e-05,151.668315,0.0177639471,6.99969352,0.00103655797,4.70102992,2.92532214,results/logs_open/matbench_ys_rs60__lightgbm.log,matbench_steels,YS,Yield Strength,60,Classical,open
matbench_ys_rs60,limix,OK,5,85.4541036,1.05757351,0.824881398,0.00445667148,123.427109,1.55855704,6.07372046,0.0722822553,2.09915447,0.576089793,results/logs_open/matbench_ys_rs60__limix.log,matbench_steels,YS,Yield Strength,60,TFM,open
matbench_ys_rs60,mitra,OK,5,96.9466956,0.0,0.792568796,0.0,134.343322,0.0,6.90205764,0.0,0.606546831,0.418999638,results/logs_open/matbench_ys_rs60__mitra.log,matbench_steels,YS,Yield Strength,60,TFM,open
matbench_ys_rs60,mlp,OK,5,115.298719,7.46100707,0.713360022,0.0327976249,157.658949,9.141312,8.07989014,0.459125707,2.76129146,0.817118211,results/logs_open/matbench_ys_rs60__mlp.log,matbench_steels,YS,Yield Strength,60,Deep,open
matbench_ys_rs60,modernNCA,OK,5,112.174973,3.27073752,0.665014997,0.0117471567,170.696632,2.99347173,7.73390711,0.252933576,1.67708063,1.35068965,results/logs_open/matbench_ys_rs60__modernNCA.log,matbench_steels,YS,Yield Strength,60,Deep,open
matbench_ys_rs60,realmlp,OK,5,125.797651,11.3988927,0.681897108,0.0591153404,165.64625,15.4514093,8.93390222,0.722620205,3.56406465,0.379763106,results/logs_open/matbench_ys_rs60__realmlp.log,matbench_steels,YS,Yield Strength,60,Deep,open
matbench_ys_rs60,resnet,OK,5,118.314594,13.4518796,0.696106185,0.0608651534,161.776334,16.4177868,8.24796694,0.807635924,4.62346377,1.12267512,results/logs_open/matbench_ys_rs60__resnet.log,matbench_steels,YS,Yield Strength,60,Deep,open
matbench_ys_rs60,tabm,OK,5,211.016358,3.12561922,0.0484645309,0.0208216205,287.717086,3.14105564,14.3909495,0.217183602,3.41728854,0.588057516,results/logs_open/matbench_ys_rs60__tabm.log,matbench_steels,YS,Yield Strength,60,Deep,open
matbench_ys_rs60,tabpfn_v2,OK,5,82.3609427,1.08236978,0.834807105,0.00483868852,119.874674,1.76903923,5.83504008,0.0809623633,1.10242996,1.46497804,results/logs_open/matbench_ys_rs60__tabpfn_v2.log,matbench_steels,YS,Yield Strength,60,TFM,open
matbench_ys_rs60,tabpfn_v3,OK,5,83.5005993,0.879031411,0.809616122,0.00341008933,128.699443,1.15403659,5.89079155,0.0608320934,0.805148268,0.376323037,results/logs_open/matbench_ys_rs60__tabpfn_v3.log,matbench_steels,YS,Yield Strength,60,TFM,open
matbench_ys_rs60,xgboost,OK,5,124.569939,11.4859605,0.599584532,0.0751381695,185.7637,18.1963806,8.71238691,0.790303746,0.27633791,0.14772973,results/logs_open/matbench_ys_rs60__xgboost.log,matbench_steels,YS,Yield Strength,60,Classical,open
matbench_ys_rs70,catboost,OK,5,90.4958534,3.21759268,0.737555787,0.00598043654,134.479887,1.5286372,6.46989618,0.242782375,19.53089695,0.55492872,results/logs_open/matbench_ys_rs70__catboost.log,matbench_steels,YS,Yield Strength,70,Classical,open
matbench_ys_rs70,ftt,OK,5,177.304528,2.27606479,0.0962706803,0.00907404432,249.563239,1.25171431,12.2742907,0.164638614,8.18298469,3.93476331,results/logs_open/matbench_ys_rs70__ftt.log,matbench_steels,YS,Yield Strength,70,Deep,open
matbench_ys_rs70,lightgbm,OK,5,92.5953283,0.0186947798,0.723621319,2.15361948e-05,138.012734,0.00537725163,6.54718485,0.00142875463,8.31967754,4.90488364,results/logs_open/matbench_ys_rs70__lightgbm.log,matbench_steels,YS,Yield Strength,70,Classical,open
matbench_ys_rs70,limix,OK,5,74.9890852,0.70621027,0.815313597,0.00472531203,112.810222,1.45070896,5.26407205,0.0457692776,1.42896466,0.388203519,results/logs_open/matbench_ys_rs70__limix.log,matbench_steels,YS,Yield Strength,70,TFM,open
matbench_ys_rs70,mitra,OK,5,85.0574991,0.0,0.777660147,0.0,123.787145,0.0,6.0486705,0.0,0.560745049,0.350961095,results/logs_open/matbench_ys_rs70__mitra.log,matbench_steels,YS,Yield Strength,70,TFM,open
matbench_ys_rs70,mlp,OK,5,120.704139,15.0578599,0.593016155,0.113450049,165.869559,23.1489498,8.43535617,1.00720176,3.75583315,1.43883861,results/logs_open/matbench_ys_rs70__mlp.log,matbench_steels,YS,Yield Strength,70,Deep,open
matbench_ys_rs70,modernNCA,OK,5,100.719897,12.7475986,0.66076153,0.0903328315,151.455592,20.997629,6.92374687,0.843300091,5.41663642,3.80618974,results/logs_open/matbench_ys_rs70__modernNCA.log,matbench_steels,YS,Yield Strength,70,Deep,open
matbench_ys_rs70,realmlp,OK,5,94.601338,12.074711,0.779057618,0.0437924972,122.810971,12.0171334,6.78566253,0.835388012,3.71201987,1.1982174,results/logs_open/matbench_ys_rs70__realmlp.log,matbench_steels,YS,Yield Strength,70,Deep,open
matbench_ys_rs70,resnet,OK,5,88.8204194,1.77864175,0.784674916,0.0139723972,121.754847,3.9458174,6.30545025,0.159291189,8.57805667,3.65194156,results/logs_open/matbench_ys_rs70__resnet.log,matbench_steels,YS,Yield Strength,70,Deep,open
matbench_ys_rs70,tabm,OK,5,181.144937,0.998194564,0.0926658518,0.0092466066,250.060368,1.27575454,12.5587115,0.0703631985,4.6054225,0.478443562,results/logs_open/matbench_ys_rs70__tabm.log,matbench_steels,YS,Yield Strength,70,Deep,open
matbench_ys_rs70,tabpfn_v2,OK,5,75.628413,0.829703858,0.824045216,0.00506733406,110.10878,1.59355228,5.37168567,0.062580236,1.25783525,1.80507654,results/logs_open/matbench_ys_rs70__tabpfn_v2.log,matbench_steels,YS,Yield Strength,70,TFM,open
matbench_ys_rs70,tabpfn_v3,OK,5,75.0341695,0.511040311,0.835626651,0.0029485604,106.43028,0.952392793,5.31405254,0.0375732963,0.90116787,0.562023792,results/logs_open/matbench_ys_rs70__tabpfn_v3.log,matbench_steels,YS,Yield Strength,70,TFM,open
matbench_ys_rs70,xgboost,OK,5,95.079667,6.6409154,0.700110212,0.0391764247,143.448112,9.512969,6.71757992,0.502770906,0.24401217,0.12833823,results/logs_open/matbench_ys_rs70__xgboost.log,matbench_steels,YS,Yield Strength,70,Classical,open
matbench_ys_rs80,catboost,OK,5,77.1427771,5.83462026,0.75419381,0.0263556534,104.823093,5.59248186,5.66981366,0.416088537,13.27842736,5.90391087,results/logs_open/matbench_ys_rs80__catboost.log,matbench_steels,YS,Yield Strength,80,Classical,open
matbench_ys_rs80,ftt,OK,5,95.6155191,7.83920628,0.535105496,0.0576192048,144.090585,8.85950186,6.85217411,0.579581455,22.8440019,6.42746633,results/logs_open/matbench_ys_rs80__ftt.log,matbench_steels,YS,Yield Strength,80,Deep,open
matbench_ys_rs80,lightgbm,OK,5,82.8752745,0.0274536192,0.630175814,7.31333837e-05,128.758357,0.0127313146,5.93573873,0.00184582764,3.4003943,0.41998029,results/logs_open/matbench_ys_rs80__lightgbm.log,matbench_steels,YS,Yield Strength,80,Classical,open
matbench_ys_rs80,limix,OK,5,70.4958252,0.595443918,0.719149249,0.00619117868,112.199087,1.23362019,5.03602207,0.0413118341,1.78244472,0.569293701,results/logs_open/matbench_ys_rs80__limix.log,matbench_steels,YS,Yield Strength,80,TFM,open
matbench_ys_rs80,mitra,OK,5,72.5596332,0.0,0.719496354,0.0,112.136508,1.42108547e-14,5.27925516,0.0,0.60740447,0.424202422,results/logs_open/matbench_ys_rs80__mitra.log,matbench_steels,YS,Yield Strength,80,TFM,open
matbench_ys_rs80,mlp,OK,5,80.1100554,2.29169263,0.712398212,0.0151143874,113.507346,2.97974091,5.92029156,0.164878602,13.488655,1.86648011,results/logs_open/matbench_ys_rs80__mlp.log,matbench_steels,YS,Yield Strength,80,Deep,open
matbench_ys_rs80,modernNCA,OK,5,73.581267,11.0189996,0.66588856,0.149298153,119.839959,24.8222697,5.35356576,0.690136064,1.55225244,0.606840107,results/logs_open/matbench_ys_rs80__modernNCA.log,matbench_steels,YS,Yield Strength,80,Deep,open
matbench_ys_rs80,realmlp,OK,5,96.1887567,8.41907644,0.61864252,0.0708498278,130.239544,11.5497907,6.94481412,0.636927334,3.1378912,0.63105432,results/logs_open/matbench_ys_rs80__realmlp.log,matbench_steels,YS,Yield Strength,80,Deep,open
matbench_ys_rs80,resnet,OK,5,78.6525302,4.85501877,0.733139473,0.0272592031,109.226342,5.70966591,5.83824497,0.304974967,4.63609171,0.644053289,results/logs_open/matbench_ys_rs80__resnet.log,matbench_steels,YS,Yield Strength,80,Deep,open
matbench_ys_rs80,tabm,OK,5,98.7843475,1.58441184,0.588814423,0.0137212536,135.749145,2.24923902,7.24832431,0.115077747,32.3771657,4.89290084,results/logs_open/matbench_ys_rs80__tabm.log,matbench_steels,YS,Yield Strength,80,Deep,open
matbench_ys_rs80,tabpfn_v2,OK,5,65.3458915,0.906199218,0.758483439,0.00658634479,104.042425,1.42557816,4.75527196,0.0621434656,0.958912039,1.0056101,results/logs_open/matbench_ys_rs80__tabpfn_v2.log,matbench_steels,YS,Yield Strength,80,TFM,open
matbench_ys_rs80,tabpfn_v3,OK,5,65.8214258,0.827978833,0.759819622,0.0068216043,103.753425,1.47850839,4.78429873,0.056217514,0.740285397,0.360179636,results/logs_open/matbench_ys_rs80__tabpfn_v3.log,matbench_steels,YS,Yield Strength,80,TFM,open
matbench_ys_rs80,xgboost,OK,5,85.0393656,8.96112232,0.642009686,0.073320379,125.974939,13.3616219,6.20803507,0.690298235,0.26561408,0.1186807,results/logs_open/matbench_ys_rs80__xgboost.log,matbench_steels,YS,Yield Strength,80,Classical,open
nims_fs_rs50,catboost,OK,5,18.8146301,0.492568771,0.982707479,0.00110526582,26.6475584,0.861024397,3.19668651,0.0827896307,19.546138,0.93955866,results/logs_open/nims_fs_rs50__catboost.log,nims_fatigue,FS,Fatigue Strength,50,Classical,open
nims_fs_rs50,ftt,OK,5,19.4864539,0.584721137,0.980540825,0.0013927463,28.2642242,1.01526904,3.37580595,0.0922068782,28.5165023,4.67793246,results/logs_open/nims_fs_rs50__ftt.log,nims_fatigue,FS,Fatigue Strength,50,Deep,open
nims_fs_rs50,lightgbm,OK,5,21.7469716,0.0357027726,0.977498922,8.26499311e-05,30.4127567,0.0559321068,3.88079447,0.00463297222,3.97406101,0.19378809,results/logs_open/nims_fs_rs50__lightgbm.log,nims_fatigue,FS,Fatigue Strength,50,Classical,open
nims_fs_rs50,limix,OK,5,16.8693119,0.229641672,0.985536175,0.000372976043,24.3814672,0.316530573,2.79780049,0.0371586294,0.895487309,0.392936535,results/logs_open/nims_fs_rs50__limix.log,nims_fatigue,FS,Fatigue Strength,50,TFM,open
nims_fs_rs50,mitra,OK,5,18.4342104,0.0,0.982969443,1.11022302e-16,26.4587475,0.0,3.16957237,0.0,0.61655941,0.983157192,results/logs_open/nims_fs_rs50__mitra.log,nims_fatigue,FS,Fatigue Strength,50,TFM,open
nims_fs_rs50,mlp,OK,5,20.8388058,0.977573363,0.979812847,0.00113595522,28.7952297,0.810215194,3.69862956,0.200182051,13.9496736,2.83633758,results/logs_open/nims_fs_rs50__mlp.log,nims_fatigue,FS,Fatigue Strength,50,Deep,open
nims_fs_rs50,modernNCA,OK,5,22.8109594,1.395962,0.977357472,0.00261930781,30.4558838,1.78676984,4.05260224,0.277484353,2.30700192,0.605299449,results/logs_open/nims_fs_rs50__modernNCA.log,nims_fatigue,FS,Fatigue Strength,50,Deep,open
nims_fs_rs50,realmlp,OK,5,20.1706573,1.3624987,0.981747153,0.00225896514,27.3394883,1.69165477,3.56439614,0.30583256,3.36139665,0.455068626,results/logs_open/nims_fs_rs50__realmlp.log,nims_fatigue,FS,Fatigue Strength,50,Deep,open
nims_fs_rs50,resnet,OK,5,21.4074619,0.569874956,0.977296615,0.000954255141,30.5424402,0.64371585,3.86312054,0.192095226,11.2817651,2.28046468,results/logs_open/nims_fs_rs50__resnet.log,nims_fatigue,FS,Fatigue Strength,50,Deep,open
nims_fs_rs50,tabm,OK,5,21.9031639,0.454427169,0.975513144,0.000805304537,31.7222258,0.517241191,3.67438356,0.0745813871,25.6074744,3.07323491,results/logs_open/nims_fs_rs50__tabm.log,nims_fatigue,FS,Fatigue Strength,50,Deep,open
nims_fs_rs50,tabpfn_v2,OK,5,17.3174884,0.210848944,0.984842595,0.000398422788,24.9591765,0.325994417,2.94642621,0.0313168242,1.30394683,1.87639592,results/logs_open/nims_fs_rs50__tabpfn_v2.log,nims_fatigue,FS,Fatigue Strength,50,TFM,open
nims_fs_rs50,tabpfn_v3,OK,5,15.7907625,0.118548666,0.986891192,0.000117156652,23.2130443,0.104000217,2.72329482,0.0168951107,0.784816599,0.336438951,results/logs_open/nims_fs_rs50__tabpfn_v3.log,nims_fatigue,FS,Fatigue Strength,50,TFM,open
nims_fs_rs50,xgboost,OK,5,19.3402235,0.953260963,0.982371948,0.00162112051,26.8898345,1.25021035,3.35140835,0.193575669,0.25289354,0.12028951,results/logs_open/nims_fs_rs50__xgboost.log,nims_fatigue,FS,Fatigue Strength,50,Classical,open
